#GADA 1.0
# NumArgs = 12 
# CallStr = GADA -a 0.8 -T 5 -M 3 -s -0.2 -b 0.0 -c 
# Parsing Arguments: 
# a= 0.8 
# T= 5 
# MinLen= 3 
# sigma2= -0.2 
# BaseAmp= 0 
# -c option activated to classify segments into altered states
#Parameter setting: a=0.8,T=5,MinLen=3,sigma2=-0.2,BaseAmp=0
# Reading M=80000 probes in input file
#      SBL: Converged after 434 iterations within tolerance 1e-010, M=480 
# Overall mean 0.00135799
# Sigma^2=0.207949
# Found 480 breakpoints after SBL
# Kept 440 breakpoints after BE
# Making segments
# BaseAmp=0 
# Classify Segments 
Start	Stop	Lenght	Ampl	State
69766	69831	66	1.03249	G
69832	69899	68	-0.893836	L
69900	69966	67	1.0321	G
69967	70033	67	-1.02256	L
70034	70075	42	0.917496	G
70076	71674	1599	-0.00187793	N
71675	71717	43	-1.04581	L
71718	71780	63	0.952614	G
71781	71843	63	-1.00766	L
71844	71906	63	0.97353	G
71907	71968	62	-0.914224	L
71969	72031	63	1.03664	G
72032	72093	62	-0.940312	L
72094	72155	62	0.973564	G
72156	72218	63	-0.994106	L
72219	72280	62	0.85427	G
72281	72297	17	-0.929896	L
72298	72905	608	0.0399286	N
72906	72954	49	-1.00216	L
72955	73015	61	0.951803	G
73016	73062	47	-1.03378	L
73063	73463	401	-0.0109052	N
73464	73496	33	1.01488	G
73497	73555	59	-1.00085	L
73556	73615	60	0.996434	G
73616	73626	11	-1.13921	L
73627	74270	644	-0.0102471	N
74271	74307	37	1.01129	G
74308	74708	401	0.0139271	N
74709	74727	19	-1.01729	L
74728	74785	58	0.998294	G
74786	74842	57	-0.983845	L
74843	74899	57	0.991918	G
74900	74957	58	-0.942547	L
74958	75014	57	1.07133	G
75015	75071	57	-1.09796	L
75072	75117	46	0.94105	G
75118	75819	702	0.0165887	N
75820	75860	41	-1.08935	L
75861	75916	56	0.955907	G
75917	75972	56	-0.977982	L
75973	76027	55	0.930941	G
76028	76083	56	-0.881967	L
76084	76128	45	0.976601	G
76129	76528	400	-0.00663073	N
76529	76578	50	0.924784	G
76579	76633	55	-1.18373	L
76634	76687	54	0.99816	G
76688	76742	55	-0.981261	L
76743	76796	54	1.04823	G
76797	76851	55	-1.01777	L
76852	76905	54	0.947158	G
76906	76959	54	-1.01934	L
76960	77013	54	1.04131	G
77014	77046	33	-1.00655	L
77047	77447	401	0.00792194	N
77448	77496	49	-1.02712	L
77497	77549	53	0.925035	G
77550	77603	54	-0.9785	L
77604	77656	53	0.862126	G
77657	77709	53	-1.08228	L
77710	77762	53	0.939862	G
77763	77815	53	-0.992646	L
77816	77837	22	1.01123	G
77838	78239	402	-0.0103452	N
78240	78287	48	1.05456	G
78288	79439	1152	0.016251	N
79440	79471	32	-1.09376	L
79472	79522	51	0.99015	G
79523	79572	50	-1.12238	L
79573	79623	51	1.03214	G
79624	79673	50	-1.01346	L
79674	79724	51	0.936524	G
79725	79774	50	-1.1168	L
79775	79824	50	0.969172	G
79825	79874	50	-0.95826	L
79875	79924	50	0.920269	G
79925	80000	76	0.00656098	G
